content,category
"Thái Lan thảm bại 1-4 trước Uzbekistan TTO - Đội tuyển Thái Lan đã thảm bại 1-4 trước Uzbekistan trong trận giao hữu đêm 30-5. Kết quả này khiến Thái Lan bị chỉ trích là ""chuẩn bị kém cỏi"" khi không thắng trận nào trong 3 trận đấu giao hữu chuẩn bị cho vòng loại World Cup 2022. Uzbekistan ghi liên tiếp 4 bàn thắng do công của Hassnidin Ali Kulov ở phút 60, Odil Akmadov phút 70 và Termukja Abducalikov phút 73, 90 để kết thúc trận đấu với chiến thắng đậm đà 4-1. Al Maktoum Stadium. Sau đó họ sẽ đá 2 trận nữa gặp UAE (ngày 7-6) và Malaysia (15-6). Hiện tại Thái Lan đang xếp thứ 3 ở bảng G với 8 điểm, kém 3 điểm so với đội dẫn đầu Việt Nam. Malaysia xếp thứ hai được 9 điểm, chủ nhà UAE xếp thứ 4 với 6 điểm và Indonesia vẫn 0 điểm xếp chót bảng.",Thể thao
"Thủ môn chạy ra góc 'giành bóng' với đồng đội rồi... 'mời' đối thủ ghi bàn TTO - Thủ môn Mussa Mbisa đã có pha xử lý đúng là 'đi vào lòng đất' khi chạy ra góc giành bóng với đồng đội, rồi mắc sai lầm ngớ ngẩn biếu không cho đối thủ bàn thắng ở trận Mwadui FC thua Yanga SC 0-2 ngày 26-5, tại tứ kết Cúp FA Tanzania.",Thể thao
"Duy Mạnh không kịp phục hồi 100% cho AFF Cup 2020 TTO - Chuyên gia vật lý trị liệu Nguyễn Trọng Hương khẳng định trung vệ Đỗ Duy Mạnh không thể đạt 100% thể lực trước tháng 1-2021. ""Chấn thương của Duy Mạnh cần thời gian hồi phục dài. Chúng tôi không thể nói chính xác thời gian. Tuy nhiên, việc Duy Mạnh quay lại thi đấu với thể trạng tốt nhất không thể sớm hơn tháng 1-2021"", chuyên gia Nguyễn Trọng Hương chia sẻ vào chiều 21-5 tại Trung tâm đào tạo bóng đá trẻ PVF (Hưng Yên). Duy Mạnh sẽ quay lại tập luyện với thời gian 60 phút, rồi tăng lên 90 phút, sau đó có thể tập hết buổi. Tiếp theo, cậu ấy sẽ thi đấu nửa hiệp, một hiệp rồi tiến tới cả trận. Việc Duy Mạnh thi đấu được phụ thuộc vào thể lực của cậu ấy. Ban huấn luyện sẽ phối hợp với lời khuyên của chuyên gia PVF để đưa ra kế hoạch thi đấu thống nhất và hiệu quả"".",Thể thao
"Liverpool vào top 4, tranh vé dự Champions League tận giờ chót TTO - Rạng sáng 20-5, Liverpool đã vươn lên vị trí thứ tư trên bảng xếp hạng khi đá bại Burnley 3-0 trên sân khách ở vòng 37 Giải ngoại hạng Anh (Premier League). Trước một Burnley không còn động lực chiến đấu, Liverpool đã dễ dàng chiếm lĩnh thế trận ngay sau tiếng còi khai cuộc. Nhưng dù áp đảo và tạo ra khá nhiều tình huống nguy hiểm, phải đến cuối hiệp 1 các học trò HLV Juergen Klopp mới xuyên thủng được tuyến phòng ngự của đội chủ nhà nhờ sự tỏa sáng của tiền đạo Roberto Firmino.",Thể thao
"Alisson ghi bàn phút 90+5, Liverpool sống lại hi vọng dự Champions League TTO - Rạng sáng 17-5, thủ môn Alisson Becker đã ghi bàn thắng quý hơn vàng ở phút 90+5, giúp Liverpool lội ngược dòng đá bại West Brom 2-1 trên sân The Hawthorns ở vòng 36 Giải ngoại hạng Anh (Premier League). Với quyết tâm giành chiến thắng để nuôi hi vọng vào top 4, Liverpool tràn đội hình lên tấn công ngay sau tiếng còi khai cuộc và tạo sức ép lớn lên phần sân của West Brom.",Thể thao
"Tận dụng công nghệ để chống dịch TTO - Với thế mạnh nhiều năm liền đứng đầu các chỉ số ứng dụng công nghệ thông tin (CNTT), trong đợt dịch COVID-19 lần này nhiều đơn vị ở Đà Nẵng tận dụng tối đa ưu thế trực tuyến để phòng dịch. Bệnh viện tư vấn khám bệnh, khai báo y tế trực tuyến, cơ quan công sở cũng khuyến khích người dân làm thủ tục hành chính qua mạng.",Thể thao
"Những hình ảnh ấn tượng trong trận thắng UAE TTO - Với một cú sút tuyệt đẹp và đầy bất ngờ của Tiến Linh, ĐT Việt Nam đã giành chiến thắng 1-0 trước UAE và vươn lên đừng đầu bảng G với 10 điểm.",Thể thao
"Video: Công Phượng và Văn Toàn 'khuynh đảo' V-League 2021 TTO - Công Phượng và Văn Toàn, mỗi cầu thủ đã ghi 6 bàn thắng sau 11 vòng đấu giai đoạn 1 V-League 2021. Tính riêng ở HAGL, cặp đôi tiền đạo đóng góp 12 trong tổng số 21 bàn thắng, góp phần giúp đội bóng phố núi bay cao trên ngôi đầu bảng xếp hạng.",Thể thao
"FIFA chúc mừng futsal Việt Nam lần thứ hai góp mặt ở World Cup TTO - Trên trang Twitter có 14,3 triệu người theo dõi của mình, Liên đoàn Bóng đá thế giới (FIFA) đã gửi lời chúc mừng Việt Nam lần thứ hai liên tiếp giành vé dự World Cup 2021. Trận lượt về rất giống với trận gặp nhau trước đó hai ngày. Cả hai đội thay nhau ăn miếng trả miếng trong những phút đầu tiên, sau đó là hàng loạt pha cản phá xuất thần của các thủ môn khiến hiệp một kết thúc mà không có bàn thắng nào được ghi. Sau đó Việt Nam đã có bàn mở tỉ số ở phút 37, Đoàn Phát xử lý khéo léo để lừa bóng qua Ahmad Kheir El Dine trước khi hạ gục thủ thành Hussein Hamdani. Lebanon sau đó đẩy mạnh tấn công và có bàn gỡ hòa 1-1 do công của Ali Tneich. Nhưng Việt Nam đã chơi chắc chắn ở những phút còn lại để giữ vững tỉ số hòa 1-1 và giành vé"". Như vậy, Việt Nam sẽ cùng với Iran, Nhật Bản, Uzbekistan và Thái Lan góp mặt ở vòng chung kết của  World Cup 2021. Giải đấu này sẽ diễn ra từ ngày 12-9 đến 3-10 tại Lithuania.",Thể thao
"Thái Lan quan tâm tuyển Indonesia TTO - Indonesia là đối thủ đầu tiên của Thái Lan tại UAE. Vì vậy, nhiều ngày qua, truyền thông Thái Lan đã dành sự quan tâm đặc biệt dành cho thầy trò HLV Shin Tae Yong. Indonesia là đối thủ đầu tiên của Thái Lan tại UAE. Vì vậy, nhiều ngày qua, truyền thông Thái Lan đã dành sự quan tâm đặc biệt dành cho thầy trò HLV Shin Tae Yong. Theo đó, một trong những điều mà các đội bóng ở bảng G, trong đó có Thái Lan phải đề phòng Indonesia chính là ""dòng máu trẻ"" của đội bóng này.",Thể thao
"Sông Lam Nghệ An đánh bại Hoàng Anh Gia Lai ngày khai mạc giải U13 toàn quốc TTO - Chiều 5-10, các cầu thủ U13 Sông Lam Nghệ An đã đánh bại U13 Hoàng Anh Gia Lai 3-0 trong trận đấu mở màn vòng chung kết Giải bóng đá thiếu niên toàn quốc 2020. Giải bóng đá thiếu niên toàn quốc là giải đấu thuộc hệ thống thi đấu chính thức của Liên đoàn Bóng đá Việt Nam. Giải là sân chơi thể thao dành cho các cầu thủ lứa tuổi U13 do báo Thiếu Niên Tiền Phong và Nhi Đồng tổ chức liên tiếp trong 24 năm qua. Kết quả, U13 Sông Lam Nghệ An đã thắng cách biệt U13 Hoàng Anh Gia Lai với tỉ số 3-0.",Thể thao
"Bóng đá và người hâm mộ, cùng ước mơ - chung chiến thắng Ăn bóng đá, ngủ bóng đá, khóc cười cùng bóng đá… là những tình cảm nhiệt thành mà người hâm mộ đặc biệt riêng dành cho đội tuyển Việt Nam. Bóng đá không chỉ là môn thể thao, mà còn là chất xúc tác khơi dậy niềm tự hào dân tộc, thể hiện tinh thần đoàn kết, trái tim quyết thắng của gần 100 triệu người dân Việt Nam.",Thể thao
"'Đá thế này Việt Nam giành vé dự World Cup 2022 chứ chả chơi' TTO - Sau chiến thắng 1-0 trước UAE để vươn lên dẫn đầu bảng G ở vòng loại World Cup 2022, các CĐV Việt Nam tỏ ra tin tưởng về cơ hội giành vé đến Qatar của đội tuyển Việt Nam dù con đường phía trước còn rất xa. Nữ CĐV Lưu Phương Trang cũng khen ngợi Việt Nam nhưng lại tiếc cho Công Phượng vì không thể ghi bàn: ""Ông giáo ạ, Việt Nam thắng rồi mà thương Công Phượng lắm cơ"". CĐV Lê Sơn Đỉnh cũng hết lời khen ngợi màn trình diễn tuyệt vời của tiền vệ Tuấn Anh khi viết:  ""Tuấn Anh trận này chơi quá xuất sắc, thiệt không từ nào chê được luôn"". Ngày mai nếu có tin HLV UAE bị sa thải xin ông cũng đừng buồn, cái này là truyền thống khi gặp Việt Nam rồi"".",Thể thao
"Đội tuyển Việt Nam xét nghiệm COVID-19, nội bất xuất ngoại bất nhập TTO – Ngày 7-5, toàn bộ các thành viên đội tuyển Việt Nam đã được xét nghiệm COVID-19. Các tuyển thủ chỉ được ra khỏi nơi ở và tập luyện khi có vấn đề khẩn thiết và phải được sự cho phép của HLV trưởng Park Hang Seo. Mặc dù đã được tiêm vắc xin COVID-19 nhưng trong ngày đầu hội quân, thầy trò HLV Park Hang Seo vẫn được tiến hành xét nghiệm COVID-19 bằng phương pháp RT-PCR. Việc lấy mẫu xét nghiệm RT-PCR sẽ được VFF duy trì thực hiện 7 ngày/lần cho toàn bộ các thành viên trong đội tuyển Việt Nam.",Thể thao
"Chủ tịch nước Nguyễn Xuân Phúc gửi thư cho thầy trò HLV Park Hang Seo trước khi sang UAE TTO - Ngày 25-5, Chủ tịch nước Nguyễn Xuân Phúc đã có thư gửi thầy trò HLV Park Hang Seo trước khi đội tuyển lên đường sang UAE tham dự vòng loại thứ 2 World Cup 2022. Tình cảm của Chủ tịch nước khiến các thành viên đội tuyển rất xúc động.",Thể thao
"Công nhân Việt ở Guinea Xích đạo, Uzbekistan: Mong từng ngày được về nước TTO - Theo phương án của Cục Lãnh sự, Bộ Ngoại giao vừa gửi Cục Hàng không Việt Nam và các cơ quan liên quan, chuyến bay dự kiến chở 219 công dân Việt Nam từ Guinea Xích Đạo sẽ về nước vào trưa 29-7. hi vọng...",Thể thao
"HLV Nishino: Thái Lan cố gắng để các đối thủ Đông Nam Á phải bám đuổi TTO - Trả lời phỏng vấn AFC ngày 28-12, HLV người Nhật Akira Nishino tuyên bố thất bại ở SEA Games 30 là do tuyển U23 Thái Lan chưa chuẩn bị sẵn sàng và họ sẽ cố gắng để các đối thủ Đông Nam Á phải chạy theo một lần nữa. húng tôi không chuẩn bị đầy đủ. Đây là giải đấu mà mọi người đã cố gắng hết sức nhưng do thiếu kinh nghiệm nên thất bại"". Nhà cầm quân người Nhật khẳng định Thái Lan sẽ cố gắng tiến bộ để một lần nữa trở thành ""ngọn cờ đầu"" của bóng đá Đông Nam Á. Ông Nishino nói: ""Các đội bóng Đông Nam Á thường có nhiều động lực hơn khi đá với Thái Lan.  Giờ đây chúng tôi phải thừa nhận là Thái Lan đã không vượt xa so với các đối thủ còn lại trong khu vực. Do đó c húng tôi phải cố gắng phát triển hơn nữa để khiến các đội khác ở Đông Nam Á phải chạy theo chúng tôi một lần nữa"". Thái Lan sẽ nằm ở bảng A cùng với Úc, Iraq và Bahrain ở VCK U23 châu Á 2020. Đây là bảng đấu rất khó khăn và HLV Nishino thừa nhận Thái Lan rất ít cơ hội giành vé dự Olympic. Ông nói: ""Nếu nhìn vào số đội có thể giành vé dự Olympic thì phải thừa nhận chúng tôi có cơ hội rất nhỏ. Mọi đối thủ ở bảng A đều tốt hơn chúng tôi và chúng tôi phải cố gắng đá theo cách của mình, nỗ lực hết sức để gặt hái thành công"".",Thể thao
"Chanathip: 'Thu nhập thấp khiến cầu thủ Việt Nam luôn thi đấu khát khao và kỷ luật' TTO - Trong cuộc trò chuyện cuối năm với tờ Siam Sports (Thái Lan), ""Messi Thái"" Chanathip Songkrasin đã nhận định rằng thu nhập thấp là lý do khiến cầu thủ Việt Nam luôn thi đấu khát khao và kỷ luật. Chanathip cho biết: ""Theo tôi thấy chúng tôi vẫn còn cơ hội. Ở 3 trận đấu còn lại chúng tôi cần phải cải thiện bản thân và phát huy độ tốt nhất"". Việt Nam, tôi nghĩ rằng động lực của họ là do không có thu nhập như các cầu thủ Thái Lan. Điều đó khiến họ luôn khát khao, kỷ luật và một trái tim chiến đấu. Tôi nghĩ rằng chúng ta cần phải chuyên nghiệp hơn và thể hiện sự khát khao hơn ở mỗi trận đấu"".",Thể thao
"Ghi bàn vào lưới Milan, Ronaldo giành danh hiệu đầu tiên với Juventus TTO - Siêu sao người Bồ Đào Nha góp công lớn trong chiến thắng ở trận chung kết Siêu cúp Ý giữa Juventus và A.C Milan, qua đó có được danh hiệu đầu tiên với 'Bà đầm già' kể từ khi chuyển đến thi đấu vào mùa hè năm 2018. ú dứt điểm ở vị trí chỉ 5m khiến Donnarumma không thể cản phá.",Thể thao
"Sốc: FIFA muốn tổ chức World Cup 2 năm/lần TTO - Báo điện tử Goal.com sáng 22-5 đưa tin, Liên đoàn Bóng đá thế giới (FIFA) sẽ nghiên cứu việc tổ chức World Cup 2 năm/lần thay vì chu kỳ 4 năm/lần như hiện tại. Trước đó, Liên đoàn Bóng đá Saudi Arabia đã đưa ý tưởng tổ chức World Cup 2022 vào chương trình thảo luận tại đại hội lần thứ 71 của FIFA hôm 21-5. Tại đại hội, đề xuất này nhận được 166 phiếu tán thành từ các quốc gia thành viên, và sẽ bước vào quá trình ""nghiên cứu"".",Thể thao
"Chủ tịch UEFA 'chê' đề xuất tổ chức World Cup 2 năm/lần của FIFA TTO - Đề xuất tổ chức World Cup 2 năm/lần của Liên đoàn Bóng đá thế giới (FIFA) đang tạo ra những phản ứng trái chiều. Chủ tịch Liên đoàn Bóng đá châu Âu (UEFA) Aleksander Ceferin là một trong số những người tỏ ý không tán thành. Tại đại hội lần thứ 71, chủ tịch FIFA Gianni Infantino đã đưa ra đề xuất về việc tổ chức World Cup 2 năm/lần, thay vì 4 năm như hiện tại. Trong thời gian tới, FIFA sẽ nghiên cứu tính khả thi để thực hiện điều này.",Thể thao
"Inter đá bại AC Milan trong trận derby kịch tính có 5 bàn thắng TTO - Hai đối thủ cùng thành phố Milan gặp nhau trong trận đấu tại vòng 28 Serie A khi cả hai đang lần lượt giữ vị trí thứ 3 và 4 trên bảng xếp hạng. Vì vậy, đội giành chiến thắng sẽ xây chắc thêm cơ hội dự Champions League mùa sau.",Thể thao
Liên minh châu Âu đòi mức bồi thường khủng từ Hãng dược AstraZeneca TTO - Khoản bồi thường mà Liên minh châu Âu (EU) đòi Hãng dược AstraZeneca do giao vắc xin ngừa COVID-19 trễ so với hợp đồng lên đến 10 euro/liều/ngày.,Thể thao
"Tiền đạo 18 tuổi Greenwood tỏa sáng, Man Utd nhấn chìm Bournemouth TTO - Khuya 4-7, tiền đạo 18 tuổi Mason Greenwood tỏa sáng với hai bàn thắng đẳng cấp, góp công giúp Manchester United (Man Utd) đá bại AFC Bournemouth 5-2 trên sân Old Trafford ở vòng 33 Giải ngoại hạng Anh (Premier League). Trận này, Man Utd nhập cuộc không tốt và để Bournemouth vượt lên dẫn trước ở phút 16 sau pha solo và dứt điểm đẹp mắt từ góc hẹp của tiền vệ Junior Stanislas.",Thể thao
"HLV Phan Thanh Hùng: 'Văn Toàn, Văn Đức ghi bàn như cầu thủ nước ngoài' TTO - Phan Văn Đức và Văn Toàn đồng loạt 'nổ súng' vào chiều 12-4, giúp SLNA và HAGL chiến thắng ở vòng 9 V-League 2021. nói: ""Văn Đức lúc nào cũng xuất sắc. Quá xuất sắc. Đức 'dị' mà. Văn Đức, Văn Toàn và Tiến Linh đều có cái hay riêng. Họ chơi như cầu thủ nước ngoài, sắm vai của cầu thủ nước ngoài trong đội. Tiến Linh nay không ghi bàn nhưng phẩm chất không dễ kiếm ở Việt Nam"".",Thể thao
"Đội hình Thái Lan dự AFF Cup 2020: Sẽ phụ thuộc vào kết quả vòng loại World Cup 2022 TTO - Cách đây vài ngày, tổng thư ký Hiệp hội Bóng đá Thái Lan (FAT) Patit Supaphong tiết lộ với truyền thông Thái Lan HLV Akira Nishino có thể mang đội hình mạnh nhất dự AFF Cup 2020. Theo ông Patit, các trận đấu vòng bảng AFF Cup 2020 nhiều khả năng sẽ trùng với lịch thi đấu của Giải vô địch Thái Lan (Thai-League). Tuy nhiên, nếu đội tuyển vào bán kết, HLV Nishino có thể triệu tập những cầu thủ tốt nhất (trừ các cầu thủ đá ở Nhật Bản) dự giải vì khi đó Thai-League nhiều khả năng sẽ bước vào khoảng nghỉ. Trước đó, nhiều thông tin khẳng định FAT sẽ không cử đội hình mạnh nhất dự AFF Cup 2020 vì nhiều lý do, trong đó có việc trùng lịch đấu với Thai-League.",Thể thao
"Thái Lan có thể mất 4 ngôi sao đang thi đấu ở Nhật tại vòng loại World Cup 2022 vì COVID-19 TTO - Tuyển Thái Lan có thể mất cùng lúc 4 trụ cột  trong trận gặp Indonesia tại vòng loại World Cup 2022 khu vực châu Á diễn ra ngày 26-3 tới do lo ngại dịch COVID-19. Những cầu thủ đang là trụ cột của cũng không được ngoại lệ. Điều đó cũng đồng nghĩa với việc 4 cầu thủ đang thi đấu ở Nhật Bản gồm Chanathip Songkrasin, Kawin Thamsatchanan (CLB Consadole Sapporo), Theerathon Bunmathan (Yokohama F. Marinos) và Teerasil Dangda (Shimizu S-Pulse) sẽ bị cách ly nếu được triệu tập nhằm chuẩn bị cho vòng loại World Cup 2022 sắp tới.",Thể thao
"Bị chỉ trích, Ronaldo đăng ảnh trên Instagram bảo mọi người 'im miệng' TTO - Ronaldo đã bị chỉ trích và châm biếm sau khi phải ngồi dự bị trong trận đấu cuối cùng của Juventus thắng Bologna 4-1 tại Serie A. Đáp trả lại dư luận, Ronaldo đã đăng một bức ảnh làm động tác kêu gọi mọi người ""im miệng"". may mắn lọt qua khe cửa hẹp để giành vé dự Champions League mùa giải tới, khi đối thủ cạnh tranh trực tiếp của họ là Napoli bị Verona cầm hòa 1-1 trên sân nhà Diego Armando Maradona. Mariachiara cũng viết: ""Ronaldo là cầu thủ giỏi nhưng loại bỏ anh ấy Juventus đã chơi khác hơn và có lẽ là tốt hơn rất nhiều"". Nhiều người khác cũng bình chọn trận thắng Bologna 4-1 là ""trận đấu hay nhất năm"" của Juventus vì lý do đơn giản là ""không có Ronaldo"". Trước sự phản ứng của dư luận, Ronaldo đã ""nóng mũi"" khi đăng tải trên trang Instagram có 298 triệu người theo dõi của mình bức ảnh làm động tác kêu gọi mọi người ""Im miệng"".",Thể thao
Vũ Thị Trang vô địch Giải cầu lông quốc tế tại Ghana TTO – Tay vợt Vũ Thị Trang đã đăng quang nội dung đơn nữ của Giải cầu lông quốc tế JE Wilson 2019 vừa kết thúc tại thủ đô Accra của Ghana.,Thể thao
"Thảm bại trước Lazio, AC Milan hết cửa vô địch TTO - Rạng sáng 27-4, AC Milan đã thảm bại 0-3 trước Lazio trên sân khách Stadio Olimpico ở trận đấu muộn vòng 33 Giải vô địch Ý (Serie A). Trận thua này khiến AC Milan hết hi vọng cạnh tranh ngôi vô địch. quá nhẹ, bị thủ môn Pepe Reina bắt gọn.",Thể thao
"Tuyên dương các HEAD xuất sắc nhất trong đào tạo Lái xe an toàn Honda Việt Nam (HVN) tuyên dương các Cửa hàng Bán xe và Dịch vụ do Honda Ủy nhiệm (HEAD) xuất sắc nhất trong hoạt động đào tạo Lái xe an toàn (LXAT) tháng 03-2021 và quý I-2021. Với nỗ lực của HVN và hơn 800 HEAD, các chương trình tuyên truyền và hướng dẫn LXAT đã được triển khai mạnh mẽ. Nhằm ghi nhận những đóng góp của các Cửa hàng trong hoạt động đào tạo LXAT, HVN đã đánh giá và tuyên dương các HEAD thuộc 3 miền Bắc – Trung - Nam có hoạt động tích cực nhất trong tháng 3 cũng như quý 1/2021. Tại miền Bắc, HEAD Hưng Thịnh (tỉnh Thái Bình) là HEAD có hoạt động LXAT tích cực nhất với 17 chương trình được tổ chức cho hơn 4,7 nghìn khách hàng và học sinh các cấp. Tại miền Trung là HEAD Dũng Tiến (tỉnh Phú Yên) với 51 chương trình đào tạo cho gần 3,1 nghìn học sinh các cấp và người dân địa phương. Và tai miền Nam, xuất sắc nhất quý là HEAD Hồng Đức #6 (thành phố Cần Thơ) với 33 chương trình được triển khai cho gần 5,9 nghìn khách hàng và học sinh các cấp. Bên cạnh các hoạt động tư vấn LXAT trước khi giao xe (PDSA) và hướng dẫn luyện tập kỹ năng tham gia giao thông an toàn, trải nghiệm qua các tình huống giao thông trên máy tập lái xe (RT) thì các HEAD còn phối hợp với HVN để triển khai các chương trình đào tạo trong trường học dành cho học sinh tiểu học và trung học, phối hợp với các tổ chức Đoàn đội địa phương nhằm phổ biến kiến thức và luyện tập kỹ năng LXAT cho Đoàn viên thanh niên. Những kết quả đạt được không chỉ thể hiện nỗ lực to lớn mà còn là cam kết của mỗi HEAD trong việc góp phần nâng cao ý thức tham gia giao thông của người dân địa phương, xây dựng văn hóa giao thông cho cộng đồng, từ đó giảm thiểu tai nạn giao thông trên mọi miền Tổ quốc.",Thể thao
